symbol,asset_class,amount,price,buy_or_sell,date,id
EUR.HKD,STK,48150.0,0.1107,BUY,2021-11-03,231506748
EUR.PLN,STK,1249.2,0.21744,BUY,2021-12-07,272314639
EUR.PLN,STK,1165.92,0.21744,BUY,2021-12-07,272314628
EUR.PLN,STK,2040.3600000000001,0.21744,BUY,2021-12-07,272314647
EUR.PLN,STK,3581.04,0.21744,BUY,2021-12-07,272314654
EUR.PLN,STK,999.36,0.21744,BUY,2021-12-07,272314744
EUR.PLN,STK,1707.24,0.21744,BUY,2021-12-07,272314690
EUR.PLN,STK,1748.88,0.21744,BUY,2021-12-07,272314746
EUR.SGD,STK,3060.0,0.63933,BUY,2021-11-03,231486914
EUR.SGD,STK,-3104.9999999999995,0.65004,SELL,2021-11-17,246451681
EUR.SGD,STK,3350.0,0.65168,BUY,2021-11-19,249680202
EUR.SGD,STK,3025.0000000000005,0.64441,BUY,2021-11-30,261315270
EUR.SGD,STK,-609.0,0.64691,SELL,2021-12-03,267423025
EUR.SGD,STK,-319.0,0.64691,SELL,2021-12-03,267424577
EUR.SGD,STK,-57.99999999999999,0.64691,SELL,2021-12-03,267425941
EUR.SGD,STK,-28.999999999999996,0.64691,SELL,2021-12-03,267426893
EUR.SGD,STK,-434.99999999999994,0.64691,SELL,2021-12-03,267426899
EUR.SGD,STK,-1475.0,0.64728,SELL,2021-12-08,273696045
EUR.USD,OPT,-2.65,0.88296,SELL,2021-12-31,302502862
EUR.USD,OPT,-3.7,1.0,SELL,2021-12-20,289630848
EUR.USD,OPT,4.8,1.0,BUY,2021-12-31,301931033
